cname, planted_ha, harvested_ha, production_MT , Yield (MT/Ha), Year
Lusaka,"1,141","1,127","2,360",2.07,2017
Prov Total,"56,791","47,533","142,682",2.51,2017
Chama,"11,590","7,698","26,749",2.31,2017
Chinsali,"21,460","20,779","82,032",3.82,2017
Isoka,"9,349","9,063","31,662",3.39,2017
Mafinga,"10,555","10,269","37,741",3.58,2017
Mpika,"28,572","27,675","102,752",3.6,2017
Nakonde,"16,898","16,660","43,983",2.6,2017
Prov Total,"98,424","92,142","324,918",3.3,2017
Chilubi,"1,150","1,118","3,749",3.26,2017
Kaputa,"6,781","4,490","9,122",1.35,2017
Kasama,"11,682","10,188","36,191",3.1,2017
Luwingu,"9,290","9,083","32,984",3.55,2017
Mbala,"42,843","41,051","116,046",2.71,2017
Mporokoso,"10,185","9,870","29,544",2.9,2017
Mpulungu,"11,053","10,514","30,061",2.72,2017
Mungwi,"16,890","15,483","50,759",3.01,2017
Prov Total,"109,874","101,796","308,455",2.81,2017
Chavuma,"2,320","1,936","5,082",2.19,2017
Ikelenge,841,821,"2,643",3.14,2017
Kabompo,"10,971","10,100","28,290",2.58,2017
Kasempa,"13,371","9,509","29,129",2.18,2017
Mufumbwe,"12,500","10,200","26,265",2.1,2017
Mwinilunga,"7,094","6,780","23,136",3.26,2017
Solwezi,"24,289","20,149","29,057",1.2,2017
Zambezi,"6,650","5,109","9,911",1.49,2017
Prov Total,"78,036","64,604","153,514",1.97,2017
Choma,"43,275","37,124","83,415",1.93,2017
Gwembe,"9,314","7,588","17,740",1.9,2017
Itezhi-tezhi,"22,069","18,016","40,043",1.81,2017
Kalomo,"107,195","93,471","187,864",1.75,2017
Kazungula,"45,835","37,523","83,331",1.82,2017
Livingstone,195,124,162,0.83,2017
Mazabuka,"27,105","24,076","76,537",2.82,2017
Monze,"40,323","34,884","87,466",2.17,2017
Namwala,"44,321","30,979","46,352",1.05,2017
Siavonga,"12,483","6,765","12,521",1,2017
Sinazongwe,"16,170","10,309","16,842",1.04,2017
Prov Total,"368,286","300,859","652,273",1.77,2017
Kalabo,"12,272","6,504","6,219",0.51,2017
Kaoma,"23,562","18,401","36,295",1.54,2017
Lukulu,"6,516","3,798","7,145",1.1,2017
Mongu,"9,827","5,551","5,315",0.54,2017
Senanga,"13,277","8,831","7,906",0.6,2017
Sesheke,"26,261","24,690","13,807",0.53,2017
Shang'ombo,"13,386","7,723","8,421",0.63,2017
Prov Total,"105,102","75,499","85,109",0.81,2017
Chibombo,"77,295","55,641","144,181",1.87,2018
Kabwe,"9,389","6,172","15,080",1.61,2018
Kapiri Mposhi,"60,078","48,119","123,376",2.05,2018
Mkushi,"22,218","16,713","58,212",2.62,2018
Mumbwa,"53,645","39,296","84,793",1.58,2018
Serenje,"15,699","13,705","41,234",2.63,2018
Prov Total,"238,325","179,646","466,877",1.96,2018
Chililabombwe,"1,218","1,173","3,145",2.58,2018
Chingola,"2,423","2,389","5,837",2.41,2018
Kalulushi,"2,648","2,501","5,945",2.25,2018
Kitwe,"1,934","1,834","4,479",2.32,2018
Luanshya,"2,353","1,894","6,084",2.59,2018
Lufwanyama,"19,790","15,244","31,842",1.61,2018
Masaiti,"16,166","13,717","31,388",1.94,2018
Mpongwe,"27,966","22,996","70,605",2.52,2018
Mufulira,"1,830","1,683","5,517",3.01,2018
Ndola,"3,126","2,907","9,619",3.08,2018
Prov Total,"79,453","66,339","174,461",2.2,2018
Chadiza,"18,486","10,822","24,018",1.3,2018
Chipata,"62,073","51,552","118,866",1.91,2018
Katete,"46,654","36,085","44,006",0.94,2018
Lundazi,"62,467","60,800","146,893",2.35,2018
Mambwe,"11,605","7,351","8,979",0.77,2018
Nyimba,"18,239","14,967","31,661",1.74,2018
Petauke,"64,000","53,159","85,324",1.33,2018
Prov Total,"283,524","234,735","459,747",1.62,2018
Chienge,"6,209","5,398","11,553",1.86,2018
Kawambwa,"7,223","7,038","21,127",2.92,2018
Mansa,"7,187","6,940","20,325",2.83,2018
Milenge,"2,926","2,807","8,509",2.91,2018
Mwense,"4,665","4,225","11,430",2.45,2018
Nchelenge,"5,303","4,468","11,214",2.11,2018
Samfya,"6,361","6,063","19,737",3.1,2018
Prov Total,"39,875","36,940","103,896",2.61,2018
Chongwe,"30,965","20,555","61,477",1.99,2018
Kafue,"18,961","14,136","35,216",1.86,2018
Luangwa,"2,339",509,284,0.12,2018
Lusaka,106,79,216,2.04,2018
Prov Total,"52,370","35,279","97,192",1.86,2018
Chama,"9,888","7,265","16,494",1.67,2018
Chinsali,"13,446","12,777","41,104",3.06,2018
Isoka,"10,878","10,495","36,991",3.4,2018
Mafinga,"11,256","10,521","45,082",4.01,2018
Mpika,"20,284","16,865","63,903",3.15,2018
Nakonde,"18,436","18,041","51,452",2.79,2018
Prov Total,"84,188","75,965","255,025",3.03,2018
Chilubi,270,255,695,2.58,2018
Kaputa,"5,622","4,707","9,014",1.6,2018
Kasama,"15,683","12,933","40,418",2.58,2018
Luwingu,"3,694","3,543","12,620",3.42,2018
Mbala,"36,641","34,561","91,307",2.49,2018
Mporokoso,"8,522","7,877","21,526",2.53,2018
Mpulungu,"7,925","7,666","18,650",2.35,2018
Mungwi,"13,972","13,292","46,140",3.3,2018
Prov Total,"92,329","84,834","240,369",2.6,2018
Chavuma,"1,448","1,236","2,900",2,2018
Ikelenge,694,671,"1,411",2.03,2018
Kabompo,"8,682","7,843","20,611",2.37,2018
Kasempa,"11,533","9,619","29,228",2.53,2018
Mufumbwe,"8,428","7,322","20,513",2.43,2018
Mwinilunga,"6,781","6,757","22,520",3.32,2018
Solwezi,"25,275","21,791","46,301",1.83,2018
Zambezi,"4,682","3,941","7,595",1.62,2018
Prov Total,"67,522","59,179","151,078",2.24,2018
Choma,"50,629","37,842","57,382",1.13,2018
Gwembe,"9,309","4,231","7,532",0.81,2018
Itezhi Tezhi,"16,431","9,895","21,698",1.32,2018
Kalomo,"101,868","80,078","135,365",1.33,2018
Kazungula,"30,536","21,242","34,181",1.12,2018
Livingstone,275,165,164,0.6,2018
Mazabuka,"20,282","12,823","25,267",1.25,2018
Monze,"41,667","27,536","43,614",1.05,2018
Namwala,"41,547","23,895","21,674",0.52,2018
Siavonga,"12,010","3,277","6,080",0.51,2018
Sinazongwe,"12,272","6,198","8,198",0.67,2018
Prov Total,"336,824","227,181","361,155",1.07,2018
Kalabo,"10,538","5,130","5,918",0.56,2018
Kaoma,"22,589","20,651","37,311",1.65,2018
Lukulu,"6,580","4,669","5,960",0.91,2018
Mongu,"11,444","5,933","4,664",0.41,2018
Senanga,"20,924","13,048","10,604",0.51,2018
Sesheke,"21,372","18,956","10,653",0.5,2018
Shang'ombo,"24,689","17,521","9,997",0.4,2018
Prov Total,"118,136","85,909","85,108",0.72,2018
Chibombo,"77,778","41,986","74,836",0.96,2019
Kabwe,"8,873","7,111","17,576",1.98,2019
Kapiri mposhi,"65,231","52,015","124,339",1.91,2019
Mkushi,"25,347","18,881","62,420",2.46,2019
Mumbwa,"60,931","16,051","30,616",0.5,2019
Serenje,"19,659","16,730","51,812",2.64,2019
Prov Total,"257,818","152,775","361,601",1.4,2019
Chililabombwe,763,713,"2,034",2.67,2019
Chingola,"3,241","2,821","8,163",2.52,2019
Kalulushi,"3,148","2,722","8,431",2.68,2019
Kitwe,"2,742","2,319","5,609",2.05,2019
Luanshya,"2,223","1,877","5,713",2.57,2019
Lufwanyama,"23,398","17,507","47,438",2.03,2019
Masaiti,"18,100","14,541","47,323",2.61,2019
Mpongwe,"32,521","24,515","87,451",2.69,2019
Mufulira,"1,557","1,480","4,141",2.66,2019
Ndola,"2,182","1,960","5,648",2.59,2019
Prov Total,"89,875","70,456","221,953",2.47,2019
Chadiza,"22,368","18,897","47,666",2.13,2019
Chipata,"64,869","56,649","115,910",1.79,2019
Katete,"45,506","36,488","65,157",1.43,2019
Lundazi,"62,400","56,716","141,670",2.27,2019
Mambwe,"11,272","8,613","13,371",1.19,2019
Nyimba,"17,848","11,044","21,986",1.23,2019
Petauke,"65,974","58,311","94,651",1.43,2019
Prov Total,"290,236","246,717","500,411",1.72,2019
Chienge,"6,275","5,912","12,787",2.04,2019
Kawambwa,"9,552","8,484","25,531",2.67,2019
Mansa,"8,952","8,502","26,778",2.99,2019
Milenge,"4,236","4,130","13,153",3.1,2019
Mwense,"5,494","4,855","13,636",2.48,2019
Nchelenge,"6,440","4,613","10,336",1.6,2019
Samfya,"7,585","6,918","18,455",2.43,2019
Prov Total,"48,535","43,413","120,676",2.49,2019
Chongwe,"30,211","9,139","20,336",0.67,2019
Kafue,"22,960","7,704","14,261",0.62,2019
Luangwa,"1,679",545,461,0.27,2019
Lusaka,59,24,72,1.22,2019
Prov Total,"54,910","17,412","35,130",0.64,2019
Chama,"9,010","6,109","16,555",1.84,2019
Chinsali,"14,503","13,104","38,953",2.69,2019
Isoka,"8,875","8,295","28,555",3.22,2019
Mafinga,"11,900","11,044","47,695",4.01,2019
Mpika,"23,948","21,643","76,003",3.17,2019
Nakonde,"15,506","12,009","32,518",2.1,2019
Prov Total,"83,742","72,204","240,278",2.87,2019
Chilubi,"1,585","1,552","4,893",3.09,2019
Kaputa,"5,785","3,478","11,336",1.96,2019
Kasama,"13,850","12,874","41,539",3,2019
Luwingu,"8,727","8,537","25,758",2.95,2019
Mbala,"35,648","34,662","65,248",1.83,2019
Mporokoso,"11,413","11,013","34,256",3,2019
Mpulungu,"8,729","8,724","13,845",1.59,2019
Mungwi,"15,852","14,713","43,467",2.74,2019
Prov Total,"101,588","95,553","240,342",2.37,2019
Chavuma,"1,959","1,194","2,522",1.29,2019
Ikelenge,808,805,"2,620",3.24,2019
Kabompo,"10,129","8,447","23,424",2.31,2019
Kasempa,"15,396","13,182","36,595",2.38,2019
Mufumbwe,"11,689","9,622","24,150",2.07,2019
Mwinilunga,"9,501","9,265","36,986",3.89,2019
Solwezi,"24,656","20,467","48,937",1.98,2019
Zambezi,"5,885","3,990","6,973",1.18,2019
Prov Total,"80,021","66,973","182,206",2.28,2019
Choma,"53,094","9,022","7,365",0.14,2019
Gwembe,"11,653",365,115,0.01,2019
Itezhi-tezhi,"29,235","5,120","13,668",0.47,2019
Kalomo,"130,779","13,320","20,958",0.16,2019
Kazungula,"34,196","2,966","5,405",0.16,2019
Livingstone,248,12,2,0.01,2019
Mazabuka,"29,073","7,059","11,914",0.41,2019
Monze,"47,494","6,920","8,166",0.17,2019
Namwala,"47,905","6,910","10,090",0.21,2019
Siavonga,"15,422",694,609,0.04,2019
Sinazongwe,"19,369",844,743,0.04,2019
Prov Total,"418,468","53,230","79,034",0.19,2019
Kalabo,"11,215","1,477","1,258",0.11,2019
Kaoma,"25,000","10,472","13,097",0.52,2019
Lukulu,"6,783","1,228","1,182",0.17,2019
Mongu,"11,414","3,028","3,009",0.26,2019
Senanga,"21,803","1,078",558,0.03,2019
Sesheke,"28,105","4,210","2,913",0.1,2019
Shangombo,"27,800","1,468",741,0.03,2019
Prov Total,"132,121","22,960","22,758",0.17,2019
Chibombo,"83,036","66,296","140,635",1.69,2020
Kabwe,"8,872","7,893","18,171",2.05,2020
Kapiri Mposhi,"67,833","59,502","173,423",2.56,2020
Mkushi,"32,748","30,696","92,318",2.82,2020
Mumbwa,"63,020","49,415","67,954",1.08,2020
Serenje,"22,052","20,953","69,907",3.17,2020
Chililabombwe,"1,045",875,"2,875",2.75,2020
Chingola,"3,651","3,282","10,814",2.96,2020
Kalulushi,"4,515","4,198","15,677",3.47,2020
Kitwe,"2,018","1,723","5,595",2.77,2020
Luanshya,"2,823","2,613","8,486",3.01,2020
Lufwanyama,"22,538","20,441","49,233",2.18,2020
Masaiti,"21,506","20,741","56,700",2.64,2020
Mpongwe,"28,729","26,012","78,177",2.72,2020
Mufulira,"1,883","1,845","6,011",3.19,2020
Ndola,"2,777","2,564","6,397",2.3,2020
Chadiza,"22,041","18,985","57,891",2.63,2020
Chipata,"65,172","57,461","158,776",2.44,2020
Katete,"49,829","41,046","86,929",1.74,2020
Lundazi,"55,969","53,951","142,294",2.54,2020
Mambwe,"11,149","6,343","13,977",1.25,2020
Nyimba,"20,216","18,512","40,015",1.98,2020
Petauke,"67,190","60,030","104,664",1.56,2020
Chienge,"9,088","7,778","22,854",2.51,2020
Kawambwa,"12,369","11,147","42,387",3.43,2020
Mansa,"12,515","11,369","33,095",2.64,2020
Milenge,"4,471","2,908","9,156",2.05,2020
Mwense,"7,484","4,780","13,296",1.78,2020
Nchelenge,"6,188","5,605","15,106",2.44,2020
Samfya,"16,393","14,746","42,208",2.57,2020
Chongwe,"32,143","29,612","74,820",2.33,2020
Kafue,"19,684","15,337","39,615",2.01,2020
Luangwa,"1,677",374,566,0.34,2020
Lusaka,65,55,191,2.96,2020
Chama,"12,777","11,903","30,736",2.41,2020
Chinsali,"20,074","18,215","59,707",2.97,2020
Isoka,"12,073","11,355","35,456",2.94,2020
Mafinga,"15,964","14,302","56,993",3.57,2020
Mpika,"34,422","30,772","104,611",3.04,2020
Nakonde,"18,151","15,351","41,472",2.28,2020
Chilubi,"1,030",887,"2,121",2.06,2020
Kaputa,"7,637","5,654","12,487",1.64,2020
Kasama,"17,227","15,741","51,172",2.97,2020
Luwingu,"14,764","14,186","41,743",2.83,2020
Mbala,"39,259","36,545","92,999",2.37,2020
Mporokoso,"11,841","11,204","36,943",3.12,2020
Mpulungu,"11,762","10,897","25,978",2.21,2020
Mungwi,"22,002","18,880","64,581",2.94,2020
Chavuma,"2,209","1,935","5,398",2.44,2020
Ikelenge,"1,022",915,"2,724",2.66,2020
Kabompo,"12,017","10,898","34,027",2.83,2020
Kasempa,"18,613","16,585","62,338",3.35,2020
Mufumbwe,"10,484","9,134","27,192",2.59,2020
Mwinilunga,"12,871","12,181","37,751",2.93,2020
Solwezi,"21,087","15,570","40,400",1.92,2020
Zambezi,"7,193","6,031","12,153",1.69,2020
Choma,"45,561","39,108","73,334",1.61,2020
Gwembe,"11,078","5,863","11,535",1.04,2020
Itezhi Tezhi,"25,962","11,389","21,005",0.81,2020
Kalomo,"108,385","73,287","146,394",1.35,2020
Kazungula,"31,020","16,302","29,853",0.96,2020
Livingstone,254,104,151,0.6,2020
Mazabuka,"18,963","11,765","25,853",1.36,2020
Monze,"35,497","25,396","66,229",1.87,2020
Namwala,"48,567","36,773","80,123",1.65,2020
Siavonga,"12,359","4,724","6,034",0.49,2020
Sinazongwe,"17,439","7,591","10,273",0.59,2020
Kalabo,"13,970","8,830","6,111",0.44,2020
Kaoma,"24,486","19,040","34,825",1.42,2020
Lukulu,"8,070","5,948","7,423",0.92,2020
Mongu,"14,327","7,593","7,172",0.5,2020
Senanga,"19,274","11,118","7,687",0.4,2020
Sesheke,"30,017","23,931","32,260",1.07,2020
Shang'ombo,"19,866","13,924","14,725",0.74,2020
Total,"1,592,267","1,290,913","3,160,185",1.98,2020
 Chibombo,"95,574","77,500","195,700",2.05,2021
 Kabwe,"9,604","8,521","31,407",3.27,2021
 Kapiri Mposhi,"65,452","42,606","111,891",1.71,2021
 Mkushi,"31,652","29,176","107,779",3.41,2021
 Mumbwa,"65,700","54,148","105,056",1.6,2021
 Serenje,"19,590","15,601","59,457",3.04,2021
 Provincial Total,"287,572","227,552","611,289",2.13,2021
 Chililabombwe,"2,010","1,957","7,942",3.95,2021
 Chingola,"4,861","4,767","25,613",5.27,2021
 Kalulushi,"4,049","3,958","13,313",3.29,2021
 Kitwe,"2,519","2,476","7,692",3.05,2021
 Luanshya,"2,752","2,748","7,348",2.67,2021
 Lufwanyama,"23,283","22,113","54,433",2.34,2021
 Masaiti,"18,369","17,165","47,999",2.61,2021
 Mpongwe,"33,977","29,291","83,992",2.47,2021
 Mufulira,"1,768","1,734","6,026",3.41,2021
 Ndola,"2,894","2,801","8,585",2.97,2021
 Provincial Total,"96,482","89,011","262,944",2.73,2021
 Chadiza,"21,732","20,080","56,880",2.62,2021
 Chipata,"64,082","61,880","160,122",2.5,2021
 Katete,"51,742","48,575","97,423",1.88,2021
 Lundazi,"67,441","63,561","164,165",2.43,2021
 Mambwe,"11,011","9,996","19,930",1.81,2021
 Nyimba,"23,278","18,815","32,821",1.41,2021
 Petauke,"79,850","71,391","154,630",1.94,2021
 Provincial Total,"319,137","294,297","685,969",2.15,2021
 Chienge,"8,122","7,571","16,483",2.03,2021
 Kawambwa,"15,654","15,092","53,279",3.4,2021
 Mansa,"13,024","12,559","46,826",3.6,2021
 Milenge,"5,392","5,218","18,239",3.38,2021
 Mwense,"7,335","6,819","18,949",2.58,2021
 Nchelenge,"9,312","8,540","22,198",2.38,2021
 Samfya,"9,426","9,250","34,268",3.64,2021
 Provincial Total,"68,265","65,050","210,242",3.08,2021
 Chongwe,"36,735","35,141","88,794",2.42,2021
 Kafue,"20,048","18,458","54,929",2.74,2021
 Luangwa,"2,292","1,232","1,263",0.55,2021
 Lusaka,51,40,96,1.86,2021
 Provincial Total,"59,126","54,870","145,081",2.45,2021
 Chama,"11,829","9,482","28,788",2.43,2021
 Chinsali,"18,809","17,859","64,267",3.42,2021
 Isoka,"11,834","11,374","44,673",3.77,2021
 Mafinga,"18,910","18,644","67,021",3.54,2021
 Mpika,"27,099","25,583","92,102",3.4,2021
 Nakonde,"18,044","17,236","50,658",2.81,2021
 Provincial Total,"106,525","100,178","347,509",3.26,2021
 Chilubi,"2,151","2,025","5,563",2.59,2021
 Kaputa,"7,329","5,577","14,242",1.94,2021
 Kasama,"17,074","16,916","68,331",4,2021
 Luwingu,"8,435","8,313","34,310",4.07,2021
 Mbala,"47,289","44,759","130,981",2.77,2021
 Mporokoso,"11,328","11,024","36,301",3.2,2021
 Mpulungu,"8,006","7,854","30,665",3.83,2021
 Mungwi,"24,363","23,906","75,682",3.11,2021
 Provincial Total,"125,974","120,373","396,074",3.14,2021
 Chavuma,"1,883","1,771","6,323",3.36,2021
 Ikelenge,956,866,"2,783",2.91,2021
 Kabompo,"13,670","12,051","35,302",2.58,2021
 Kasempa,"19,039","14,866","51,078",2.68,2021
 Mufumbwe,"11,445","8,881","22,266",1.95,2021
 Mwinilunga,"14,302","13,043","50,534",3.53,2021
 Solwezi,"26,302","21,642","55,321",2.1,2021
 Zambezi,"6,350","5,533","18,935",2.98,2021
 Provincial Total,"93,946","78,653","242,544",2.58,2021
 Choma,"53,412","37,658","92,784",1.74,2021
 Gwembe,"11,345","5,962","19,100",1.68,2021
 Itezhi Tezhi,"24,096","19,286","45,286",1.88,2021
 Kalomo,"130,463","101,091","195,778",1.5,2021
 Kazungula,"34,536","22,028","48,764",1.41,2021
 Livingstone,449,344,"1,029",2.29,2021
 Mazabuka,"25,524","18,956","38,614",1.51,2021
 Monze,"48,489","37,929","102,644",2.12,2021
 Namwala,"39,780","23,765","37,486",0.94,2021
 Siavonga,"12,118","8,026","15,578",1.29,2021
 Sinazongwe,"15,404","8,743","11,216",0.73,2021
 Provincial Total,"395,615","283,788","608,278",1.54,2021
 Kalabo,"13,401","7,446","8,571",0.64,2021
 Kaoma,"29,665","26,701","43,424",1.46,2021
 Lukulu,"7,414","5,397","7,473",1.01,2021
 Mongu,"14,143","10,568","11,502",0.81,2021
 Senanga,"15,431","9,291","8,670",0.56,2021
 Sesheke,"30,842","24,237","16,595",0.54,2021
 Shang'ombo,"18,684","12,819","14,079",0.75,2021
 Provincial Total,"129,579","96,460","110,314",0.85,2021
Chibombo,"71,938","49,404","113,106",1.57,2022
Kabwe,"8,315","6,341","17,868",2.15,2022
Kapiri Mposhi,"60,404","49,751","103,121",1.71,2022
Mkushi,"26,135","24,168","75,200",2.88,2022
Mumbwa,"50,808","39,303","94,954",1.87,2022
Serenje,"20,899","18,928","54,455",2.61,2022
Provincial Total,"238,500","187,895","458,703",1.92,2022
Chililabombwe,"1,011",967,"3,099",3.07,2022
Chingola,"3,282","3,012","10,737",3.27,2022
Kalulushi,"2,581","2,448","8,028",3.11,2022
Kitwe,"1,911","1,839","6,448",3.37,2022
Luanshya,"2,169","2,093","5,732",2.64,2022
Lufwanyama,"23,088","21,444","49,713",2.15,2022
Masaiti,"17,647","15,804","49,055",2.78,2022
Mpongwe,"25,259","22,920","74,440",2.95,2022
Mufulira,"1,285","1,269","4,082",3.18,2022
Ndola,"2,408","2,347","6,536",2.71,2022
Provincial Total,"80,640","74,142","217,869",2.7,2022
Chadiza,"19,204","19,040","39,201",2.04,2022
Chipata,"59,238","49,918","120,175",2.03,2022
Katete,"38,256","28,483","47,410",1.24,2022
Lundazi,"54,451","47,101","135,750",2.49,2022
Mambwe,"13,155","8,350","12,779",0.97,2022
Nyimba,"19,711","16,174","25,872",1.31,2022
Petauke,"57,815","46,274","84,506",1.46,2022
Provincial Total,"261,831","215,339","465,693",1.78,2022
Chienge,"6,156","5,039","13,586",2.21,2022
Kawambwa,"12,910","12,739","43,615",3.38,2022
Mansa,"12,011","10,626","34,631",2.88,2022
Milenge,"3,605","3,004","9,373",2.6,2022
Mwense,"7,403","6,684","17,864",2.41,2022
Nchelenge,"8,181","7,260","21,761",2.66,2022
Samfya,"8,943","8,390","22,282",2.49,2022
Provincial Total,"59,209","53,742","163,112",2.75,2022
Chongwe,"39,112","25,360","82,477",2.11,2022
Kafue,"23,740","17,901","45,913",1.93,2022
Luangwa,"2,476","1,042","1,297",0.52,2022
Lusaka,"1,973","1,967","9,145",4.64,2022
Provincial Total,"67,301","46,269","138,832",2.06,2022
Chama,"10,265","6,910","21,394",2.08,2022
Chinsali,"12,195","10,887","30,252",2.48,2022
Isoka,"10,435","9,687","28,966",2.78,2022
Mafinga,"16,573","16,379","71,703",4.33,2022
Mpika,"24,459","20,957","66,855",2.73,2022
Nakonde,"14,803","13,733","35,586",2.4,2022
Provincial Total,"88,731","78,553","254,756",2.87,2022
Chilubi,"1,970","1,686","4,076",2.07,2022
Kaputa,"8,560","7,188","20,345",2.38,2022
Kasama,"12,894","12,014","40,412",3.13,2022
Luwingu,"8,133","7,346","24,891",3.06,2022
Mbala,"38,599","33,984","71,713",1.86,2022
Mporokoso,"11,391","10,836","31,073",2.73,2022
Mpulungu,"10,429","9,534","18,938",1.82,2022
Mungwi,"19,090","16,739","51,869",2.72,2022
Provincial Total,"111,065","99,327","263,319",2.37,2022
Chavuma,"1,834","1,597","4,802",2.62,2022
Ikelenge,"1,141","1,111","3,418",3,2022
Kabompo,"11,391","9,526","32,434",2.85,2022
Kasempa,"16,615","13,640","44,210",2.66,2022
Mufumbwe,"9,711","8,043","23,030",2.37,2022
Mwinilunga,"17,293","15,801","66,837",3.86,2022
Solwezi,"22,390","19,005","48,101",2.15,2022
Zambezi,"5,214","4,587","10,010",1.92,2022
Provincial Total,"85,588","73,309","232,842",2.72,2022
Choma,"50,424","28,760","52,371",1.04,2022
Gwembe,"21,366","7,176","12,423",0.58,2022
Itezhi-tezhi,"19,653","15,067","55,404",2.82,2022
Kalomo,"129,306","61,066","101,679",0.79,2022
Kazungula,"36,413","16,207","29,835",0.82,2022
Livingstone,399,279,689,1.73,2022
Mazabuka,"25,188","14,130","38,681",1.54,2022
Monze,"42,366","28,157","50,466",1.19,2022
Namwala,"42,169","19,553","26,280",0.62,2022
Siavonga,"13,376","6,696","9,621",0.72,2022
Sinazongwe,"19,500","9,615","13,337",0.68,2022
Provincial Total,"400,158","206,707","390,786",0.98,2022
Kalabo,"10,854","5,721","7,502",0.69,2022
Kaoma,"25,557","21,443","38,255",1.5,2022
Lukulu,"7,722","6,775","9,435",1.22,2022
Mongu,"12,433","9,711","11,025",0.89,2022
Senanga,"19,309","10,295","11,132",0.58,2022
Sesheke,"17,756","10,282","18,585",1.05,2022
Shangombo,"20,788","15,981","24,396",1.17,2022
Provincial Total,"114,418","80,208","120,330",1.05,2022
